Author,Title,Year,DOI,Link,Type,Venue,Abstract,Source
"Zeguendry, Amine and Jarir, Zahi and Quafafou, Mohamed",Quantum-Enhanced K-Nearest Neighbors for Text Classification: A Hybrid Approach with Unified Circuit and Reduced Quantum Gates,2024,https://doi.org/10.1002/qute.202400122,https://onlinelibrary.wiley.com/doi/abs/10.1002/qute.202400122,Journal,Advanced Quantum Technologies,"Text classification, a key process in natural language processing (NLP), relies on the k-nearest neighbors (KNN) algorithm for its simplicity and effectiveness. Traditional methods often grapple with the high-dimensional nature of textual data, leading to substantial computational demands. This study introduces a novel classical quantum k-nearest neighbors (CQKNN) algorithm, which integrates quantum circuits into a conventional machine-learning framework to enhance computational efficiency and reduce storage requirements. This hybrid approach uses a unified quantum circuit that simplifies multiple similarity calculations through mid-circuit measurements and qubit reset operations, significantly improving upon traditional multi-circuit quantum k-nearest neighbors (QKNN) models. The CQKNN algorithm, tested on datasets such as SMS Spam Collection, Twitter US Airline Sentiment, and IMDB Movie Reviews, not only outperforms classical KNN but also addresses challenges posed by noisy intermediate-scale quantum (NISQ) devices through advanced error mitigation techniques. This work highlights resource efficiency and reduced gate complexity and demonstrates the practical application of fidelity in quantum similarity calculations, setting new standards for quantum-enhanced machine learning and advancing current quantum technology capabilities in complex data classification tasks.",Wiley
"Kim, Moon-Seok and Rehman, Shania and Khan, Muhammad Farooq and Kim, Sungho",Mem-Transistor-Based Gaussian Error每Generating Hardware for Post-Quantum Cryptography Applications,,https://doi.org/10.1002/qute.202400394,https://onlinelibrary.wiley.com/doi/abs/10.1002/qute.202400394,Journal,Advanced Quantum Technologies,,Wiley
"Tang, Minan and Liang, Kai and Qiu, Jiandong",Small insulator target detection based on multi-feature fusion,2023,https://doi.org/10.1049/ipr2.12735,https://onlinelibrary.wiley.com/doi/abs/10.1049/ipr2.12735,Journal,IET Image Processing,"The proportion of insulators in aerial power patrol images is small and the background of overhead lines is complex, often leading to incomplete and inaccurate detection of insulators. Therefore, an algorithm for detecting insulator targets based on multi-feature fusion is developed in this study. Firstly, a dynamic threshold oriented fast and rotated brief algorithm is proposed, which uses the bag-of-words dictionary model to determine local shape features of the image, applies gradient weighting to the global texture feature vector extracted by the histogram of oriented gradients algorithm and performs radial gradient transformations to get the improved HOG of features. Secondly, the feature vectors are fused serially, the learning machine is trained and the parameters of the support vector machine are optimized using the quantum particle swarm optimization algorithm. Finally, the target area is pre-divided by the selective search algorithm, and the area is classified by the learning machine. The experimental results show that the proposed feature extraction method can describe the image details more accurately than the existing methods, and the average accuracy of the feature extraction classifier can reach 93.7\%, which helps to overcome the incomplete detection problem of insulator detection at the aerial work site.",Wiley
"Fikadu Tilaye, Getahun and Pandey, Amit",Investigating the Effects of Hyperparameters in Quantum-Enhanced Deep Reinforcement Learning,2023,https://doi.org/10.1155/2023/2451990,https://onlinelibrary.wiley.com/doi/abs/10.1155/2023/2451990,Journal,Quantum Engineering,"Quantum machine learning uses quantum mechanical concepts of superposition of states to make the decision. In this work, we used these quantum advantages to enhance deep reinforcement learning (DRL). Our primary and foremost goal is to investigate and elucidate a way of representing and solving the frozen lake problems by using PennyLane which contains Xanadu＊s back-end quantum processing unit. This paper specifically discusses how to enhance classical deep reinforcement learning algorithms with quantum computing technology, making quantum agents get a maximum reward after a fixed number of epochs and realizing the effect of a number of variational quantum layers on the trainability of enhanced framework. We have analyzed that, as the number of layers increases, the ability of the quantum agent to converge to the optimal state also increases. For this work, we have trained the framework agent with 2, 3, and 5 variational quantum layers. An agent with 2 layers converges to a total reward of 0.95 after the training episode of 526. The other agent with layers converges to a total reward of 0.95 after the training episode of 397 and the agent which uses 5 quantum variational layers converges to a total reward of 0.95 after the training episode of 72. From this, we can understand that the agent with a more variational layer exploits more and converges to the optimal state before the other agent. We also analyzed our work in terms of different learning rate hyperparameters. We recorded every single learning epoch to demonstrate the outcomes of enhanced DRL algorithms with selected 0.1, 0.2, 0.3, and 0.4 learning rates or alpha values. From this result, we can conclude that the greater the learning rate values in quantum deep reinforcement learning, the fewer timesteps it takes to move from the start point to the goal state.",Wiley
"Liu, Yi and Li, Gengsong and Zheng, Qibin and Yang, Guoli and Liu, Kun and Qin, Wei",An evolutionary algorithm-based classification method for high-dimensional imbalanced mixed data with missing information,2024,https://doi.org/10.1049/ell2.70052,https://onlinelibrary.wiley.com/doi/abs/10.1049/ell2.70052,Journal,Electronics Letters,"The data scale keeps growing by leaps and the majority of it is high-dimensional imbalanced data, which is hard to classify. Data missing often happens in software which further aggravates the difficulty of classifying the data. In order to resolve high-dimensional imbalanced mixed-variables missing data classification problem, a novel method based on particle swarm optimization is developed. It has three original components including multiple feature selection, mixed attribute imputation, and quantum oversampling. Multiple feature selection uses a two-stage strategy to obtain stable relevant features. Mixed attribute imputation separates features into continuous and discrete features and fills missing values with different models. Quantum oversampling chooses instances to balance data based on the quantum operator. Furthermore, particle swarm optimization is employed to optimize the parameters of the components to obtain preferable classification results. Six representative classification datasets, six typical algorithms, and four measures are taken to conduct exhaust experiments, and results indicate that the proposed method is superior to the comparison algorithms.",Wiley
"He, Zhimin and Li, Zhengjiang and Deng, Maijie and Zheng, Shenggen and Situ, Haozhen and Li, Lvzhou",Quantum Architecture Search with Neural Predictor Based on Graph Measures,2024,https://doi.org/10.1002/qute.202400223,https://onlinelibrary.wiley.com/doi/abs/10.1002/qute.202400223,Journal,Advanced Quantum Technologies,"Quantum architecture search (QAS) has attracted increasing attention owing to its remarkable ability to automate the design of quantum circuits for variational quantum algorithms (VQAs). However, evaluating the performance of numerous quantum circuits is essential to provide feedback for the search strategy, which inevitably renders QAS computationally expensive. Performance predictors have emerged as highly efficient evaluation methods to mitigate this challenge. However, the performance predictor faces a critical challenge in reducing the required number of circuit-performance pairs for training. This study encodes circuit architecture by representing a quantum circuit as a relational graph that emphasizes message exchange. Subsequently, valuable information about circuit architecture is extracted through three types of graph measures, including distance-based, degree-based, and cluster-based measures. The graph measures define a smooth space related to circuit performance, facilitating the training of the performance predictor. The effectiveness of the proposed method is assessed across three tasks within variational quantum eigensolvers (VQE): identifying the ground states of the Transverse Field Ising Model (TFIM), the Heisenberg model, and the BeH2\$\text{BeH}\_2\$ molecule. The simulation results demonstrate notable enhancements in predictive accuracy achieved by our method, coupled with a substantial reduction in the required number of training samples for the predictor.",Wiley
"Maray, Mohammed and Alghamdi, Mohammed and Alrayes, Fatma S. and Alotaibi, Saud S. and Alazwari, Sana and Alabdan, Rana and Al Duhayyim, Mesfer",Intelligent metaheuristics with optimal machine learning approach for malware detection on IoT-enabled maritime transportation systems,2022,https://doi.org/10.1111/exsy.13155,https://onlinelibrary.wiley.com/doi/abs/10.1111/exsy.13155,Journal,Expert Systems,"The latest advancements in Internet of Things (IoT) have revolutionized the productivity of global shipping industry in the recent years. It also led to the emergence of IoT-enabled Maritime Transportation Systems (MTS). These approaches detect the malware in network before the execution process. Various machine learning (ML) models have been proposed and designed in literature for effective malware detection. However, the existence of numerous features in the data bring dimensionality problem which can be only resolved by the use of feature selection approaches. Therefore, the current research work presents Intelligent Metaheuristics-based Feature Selection model with Optimal ML approach for Malware Detection (IMFSOML-MD) on IoT-enabled MTS. Primarily, IMFSOML-MD technique involves the design of Quantum Invasive Weed Optimization Algorithm-based Feature Selection technique to optimally choose a subset of features. Moreover, an Optimal Wavelet Neural Network (OWNN) model is employed to perform classification process. The initial parameters of WNN model are optimally tuned with the help of Colliding Bodies Optimization algorithm thereby improving the detection performance. The proposed IMFSOML-MD technique was experimentally validated using publicly-available CICMalDroid2020 dataset. The results from extensive comparative analysis demonstrated the superiority of the proposed IMFSOML-MD technique over other compared methods in terms of detection performance with maximum accuracy of 98.96\%.",Wiley
"Wang, Haibin and Zhao, Jiaojiao and Wang, Bosi and Tong, Lian",A Quantum Approximate Optimization Algorithm with Metalearning for MaxCut Problem and Its Simulation via TensorFlow Quantum,2021,https://doi.org/10.1155/2021/6655455,https://onlinelibrary.wiley.com/doi/abs/10.1155/2021/6655455,Journal,Mathematical Problems in Engineering,"A quantum approximate optimization algorithm (QAOA) is a polynomial-time approximate optimization algorithm used to solve combinatorial optimization problems. However, the existing QAOA algorithms have poor generalization performance in finding an optimal solution from a feasible solution set of combinatorial problems. In order to solve this problem, a quantum approximate optimization algorithm with metalearning for the MaxCut problem (MetaQAOA) is proposed. Specifically, a quantum neural network (QNN) is constructed in the form of the parameterized quantum circuit to detect different topological phases of matter, and a classical long short-term memory (LSTM) neural network is used as a black-box optimizer, which can quickly assist QNN to find the approximate optimal QAOA parameters. The experiment simulation via TensorFlow Quantum (TFQ) shows that MetaQAOA requires fewer iterations to reach the threshold of the loss function, and the threshold of the loss value after training is smaller than comparison methods. In addition, our algorithm can learn parameter update heuristics which can generalize to larger system sizes and still outperform other initialization strategies of this scale.",Wiley
"Modee, Rohit and Laghuvarapu, Siddhartha and Priyakumar, U. Deva",Benchmark study on deep neural network potentials for small organic molecules,2022,https://doi.org/10.1002/jcc.26790,https://onlinelibrary.wiley.com/doi/abs/10.1002/jcc.26790,Journal,Journal of Computational Chemistry,"There has been tremendous advancement in machine learning (ML) applications in computational chemistry, particularly in neural network potentials (NNP). NNPs can approximate potential energy surface (PES) as a high dimensional function by learning from existing reference data, thereby circumventing the need to solve the electronic Schr?dinger equation explicitly. As a result, ML accelerates chemical space exploration and property prediction compared to quantum mechanical methods. Novel ML methods have the potential to provide efficient means for predicting the properties of molecules. However, this potential has been limited by the lack of standard comparative evaluations. In this work, we compare four selected models, that is, ANI, PhysNet, SchNet, and BAND-NN, developed to represent the PES of small organic molecules. We evaluate these models for their accuracy and transferability on two different test sets (i) Small organic molecules of up to eight-heavy atoms on which ANI and SchNet achieve root mean square error (RMSE) of 0.55 and 0.60?kcal/mol, respectively. (ii) On random selection of molecules from the GDB-11 database with 10-heavy atoms, ANI achieves RMSE of 1.17?kcal/mol and SchNet achieves RMSE of 1.89?kcal/mol. We examine their ability to produce smooth meaningful surface by performing PES scans for bond stretch, angle bend, and dihedral rotations on relatively large molecules to assess their possible application in molecular dynamics simulations. We also evaluate their performance for yielding minimum energy structures via geometry optimization using various minimization algorithms. All these models were also able to accurately differentiate different isomers of the same empirical formula . ANI and PhysNet achieve an RMSE of 0.29 and 0.52?kcal/mol, respectively, on isomers.",Wiley
"Shen, Yijun and Zhang, Guanhong",Adaptive predistortion algorithm based on the multilinear multiplier fusion,2018,https://doi.org/10.1002/cpe.4645,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.4645,Journal,Concurrency and Computation: Practice and Experience,"Summary Aiming at solving the problem of the insufficiency in the predistortion structure and low accuracy of the memory nonlinear power amplifier in the wireless communication system, an adaptive predistortion method for dual loop learning structure based on the fusion of multilinear multiplier model recognition is put forward. On the basis of the real number delay multilinear multiplier model, an improved quantum behaved optimization (QBO) algorithm is adopted in this method to carry out indirect learning structure off-line training of the multilinear multiplier, so as to determine the model parameters as an initial value of the predistorter. And then, the least square method (LSM) algorithm is used to carry out direct learning structure on-line micro adjustment of the parameters of the predistorter and to conduct fitting on the nonlinearity and memory effect of the power amplifier. The method has the advantages of simple structure, fast convergence, and high precision, which has avoided the local optimum. The experimental results show that the adjacent channel power in this scheme is improved by approximately 7 dB compared with that of the classical dual loop structure predistortion method, and the linearization performance of the amplifier has been significantly improved, thus its feasibility has been verified.",Wiley
"Mi, Bo and Zou, Yongxing and Huang, Darong and Liu, Yang and Chen, Lu",New Constructions of Existential Unforgeable Aggregate Signature Scheme from CSP,2022,https://doi.org/10.1155/2022/8954767,https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/8954767,Journal,Security and Communication Networks,"In future, hundreds of years of mathematical problems that the security of public key cryptography algorithms rely on may be defeated by quantum algorithms. How can a digital signature scheme gracefully balance security and efficiency? This study uses the conjugate search problem and the left self-distributive system to combine and uses the RSA-like algorithm as the underlying structure to propose a new aggregated signature scheme. We, through the EUF game, under the random metaphor model, prove that the security of the scheme satisfies the adaptation unforgeability under selective message attack, the scheme can be finally reduced to the discrete logarithm problem or large prime number decomposition problem. In addition, we can achieve antiquantum attack and exhaustive attack by performing matrix calculations on the message, defining and changing the structure of the matrix by encoding, and setting thresholds for the matrix dimension and the length of the private key. In terms of efficiency, the message signature implementation is linear compared with the expansion rate in terms of storage and computing overhead, and the generation and verification of the final signature pair have nothing to do with the number of users. In addition, the length of the signature is fixed and the size is only the length of a single group, which effectively reduces the generation of public and private key pairs and saves a lot of storage space. The storage space and computational complexity are also effectively improved compared with other solutions.",Wiley
"Muniswamy, Saravanan and Vignesh, Radhakrishnan",Joint optimization of load balancing and resource allocation in cloud environment using optimal container management strategy,2024,https://doi.org/10.1002/cpe.8035,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.8035,Journal,Concurrency and Computation: Practice and Experience,"Summary Due to the high performance of cloud computing-based microservices, a wide range of industries and fields rely on them. In a containerized cloud, traditional resource management strategies are typically used to allocate and migrate virtual machines. A major problem for cloud service providers is resource allocation for containers, which directly affects system performance and resource consumption. In this paper, we propose a joint optimization of load balancing and resource allocation in the cloud using an optimal container management strategy. We aim to enhance scheduling efficiency and reduce costs by improving the container's schedule requested digitally by users. An improved backtracking search optimization (IBSO) algorithm is used to allocate resources between end-users/IoT devices and the cloud under the consideration of service-level agreements. Mechanic quantum recurrent neural networks (MQ-RNNs) are designed to allocate, consolidate, and migrate containers in cloud environments. The various simulation measures used to validate the proposed strategy are energy consumption, number of active servers, number of interruptions, total cost, runtime, and statistical measures.",Wiley
"Bernal, David E. and Ajagekar, Akshay and Harwood, Stuart M. and Stober, Spencer T. and Trenev, Dimitar and You, Fengqi",Perspectives of quantum computing for chemical engineering,2022,https://doi.org/10.1002/aic.17651,https://onlinelibrary.wiley.com/doi/abs/10.1002/aic.17651,Journal,AIChE Journal,"Quantum computing has been attracting public attention recently. This interest is driven by the advancements in hardware, software, and algorithms required for its successful usage and the promise that it entails the potential acceleration of computational tasks compared to classical computing. This perspective article presents a short review on quantum computing, how this computational approach solves problems, and three fields that quantum computing can potentially impact the most while relevant to chemical engineering: computational chemistry, optimization, and machine learning. Here, we present a series of chemical engineering applications, the developments, potential improvements with respect to classical computing, and challenges that quantum computing faces for each of these fields. This article intends to provide a clear picture of the challenges and potential advantages that quantum technology may yield for chemical engineering, together with an invitation for our colleagues to join us in the adoption and development of quantum computing.",Wiley
"Hedhli, Ameni and Mezni, Haithem and Ben Said, Lamjed",Predictive BPaaS management with quantum and neural computing,2022,https://doi.org/10.1002/smr.2421,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.2421,Journal,Journal of Software: Evolution and Process,"With the increasing adoption of cloud computing, the deployment and management of business processes over cloud environments have become an essential operation for most enterprises, leading to the emergence of BPaaS (Business Process as a Service) as a new cloud service model. This SaaS-like service, like its ancestors, should be strategically distributed and managed over multiple cloud zones, while taking into account several constraints and conditions (e.g., sensitivity of BPaaS fragments, insecure and untrusted cloud zones, lack of resources, and workload changes). However, current BPaaS approaches are static, which means that they are no longer suitable to manage such enterprise-oriented cloud service model and to deal with the uncertain and dynamic nature of cloud availability zones. To fill this gap, we adopt a predictive BPaaS management strategy by proposing a model that forecasts the next-short time overload of cloud zones. These latter, as hosting environments for the managed BPaaS, are categorized as overloaded or underloaded, which triggers the migration of BPaaS fragments to high-performance cloud zones. The proposed neural network prediction model (called QGA-NN) is enhanced with a quantum genetic algorithm to optimize the prediction of cloud zones' overload. QGA-NN is evaluated using a BPaaS placement algorithm, which we defined as a triggered management operation. Experimental results have proved the accuracy and effectiveness of our predictive approach, compared with state-of-the-art solutions.",Wiley
"Xing, Yiming and Ban, Xiaojuan and Guo, Chong",Probabilistic Forecasting of Traffic Flow Using Multikernel Based Extreme Learning Machine,2017,https://doi.org/10.1155/2017/2073680,https://onlinelibrary.wiley.com/doi/abs/10.1155/2017/2073680,Journal,Scientific Programming,"Real-time and accurate prediction of traffic flow is the key to intelligent transportation systems (ITS). However, due to the nonstationarity of traffic flow data, traditional point forecasting can hardly be accurate, so probabilistic forecasting methods are essential for quantification of the potential risks and uncertainties for traffic management. A probabilistic forecasting model of traffic flow based on a multikernel extreme learning machine (MKELM) is proposed. Moreover, the optimal output weights of MKELM are obtained by utilizing Quantum-behaved particle swarm optimization (QPSO) algorithm. To verify its effectiveness, traffic flow probabilistic prediction using QPSO-MKELM was compared with other learning methods. Experimental results show that QPSO-MKELM is more effective for practical applications. And it will help traffic managers to make right decisions.",Wiley
"Vermeer, Michael J. D. and Heitzenrater, Chad and Parker, Edward and Moon, Alvin and Lumpkin, Domenique and Awan, Jalal",Evaluating cryptographic vulnerabilities created by quantum computing in industrial control systems,2024,https://doi.org/10.1002/jci3.12024,https://onlinelibrary.wiley.com/doi/abs/10.1002/jci3.12024,Journal,Journal of Critical Infrastructure Policy,"Quantum computing is expected to eventually be able to break the public-key cryptography algorithms currently used throughout information technology (IT) infrastructure, undermining foundational tools used to maintain information security across the country's critical infrastructure. As these systems converge, the security posture of operational technology (OT) systems has to adapt to a new threat landscape and adopt some of the same security controls as those used in enterprise IT, especially cryptographic controls that rely on public-key cryptography, which are ubiquitous in enterprise IT systems. Operators and manufacturers of industrial control systems (ICSs) and OT systems will need to understand and address the unique ways in which these systems will be vulnerable to adversaries equipped with quantum computers. We assessed quantum computing每facilitated cryptographic vulnerabilities in ICSs and OT systems to identify the issues in need of the most-urgent attention from ICS and OT owners, operators, and manufacturers. Employing a modified consequence-driven, cyber-informed engineering process informed by literature review and analysis, we mapped protocols using or enabling cryptographic protections across common ICS network topologies as part of an assessment of how an attacker could cause harm, especially damaging physical consequences resulting from manipulation of cyber每physical systems, through the cryptographic compromise of ICS and OT networks and components. Our evaluation of identified and ranked risks to related control systems was also informed by relevant literature on ICS risk assessment and mitigation, cyber harms, and historical attacks on critical infrastructure. Using our analysis, we assessed the overall difficulty in mitigating risk from each of the identified vulnerability archetypes. The resulting analysis identified vulnerabilities associated with code-signing processes as the highest priority for attention when updating systems for a postquantum future. This risk was followed by vulnerabilities associated with forged certificates for identification and vulnerabilities associated with forged session keys, identified as lower priorities but still of concern. Informed by our findings, we offer recommendations related to the protection of these vulnerabilities and the improvement of ICS security in developed systems.",Wiley
"Deng, Qi and Zhang, Shanshan and Chen, Gang and Lu, Huaxiang",Blind separation of noncooperative paired carrier multiple access signals based on improved quantum-inspired evolutionary algorithm and receding horizon optimization,2022,https://doi.org/10.1002/cpe.6119,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.6119,Journal,Concurrency and Computation: Practice and Experience,"The single-channel blind source separation of paired carrier multiple access (PCMA) signal is a key technology in satellite communications. Due to the high-order complexity of existing separation methods and the uncertainty of channel parameters, the processing of noncooperative PCMA signals with long memory remains a great challenge. In this article, the blind separation was solved as the joint channel estimation and sequence detection, and a novel blind separation algorithm based on the improved quantum-inspired evolutionary algorithm (IQEA) and receding horizon optimization was proposed. Considering the practical scenarios, a mixed PCMA signal model with noninteger period sampling was presented in advance. Combined with the proposed signal model, the IQEA was applied to recover the uplink signals from the mixed PCMA signals by its iterative estimation. Meanwhile, to reduce the computational complexity caused by long memory of PCMA signals, the receding horizon optimization was introduced to process the whole signal sequence as a dynamic programming problem. The simulation results verified that the proposed RH-IQEA outperforms existing state-of-the-art separation algorithms in the blind separation of noncooperative PCMA signals, with higher accuracy, lower-order complexity and stronger robustness to parameter estimation errors.",Wiley
"Zhenxue, He and Xiaoqian, Wu and Chao, Wang and Zhisheng, Huo and Limin, Xiao and Xiang, Wang",Delay optimization for ternary fixed polarity Reed每Muller circuits based on multilevel adaptive quantum genetic algorithm,2021,https://doi.org/10.1002/int.22538,https://onlinelibrary.wiley.com/doi/abs/10.1002/int.22538,Journal,International Journal of Intelligent Systems,"Delay optimization has now emerged as an important optimization goal in logic synthesis. The delay optimization for ternary fixed polarity Reed每Muller (FPRM) circuits aims to find a ternary FPRM circuit with a minimum delay. Because the delay optimization for ternary FPRM circuits is a combinatorial optimization problem, in this paper, we first propose a multilevel adaptive quantum genetic algorithm (MAQGA), which divides individuals into three-level populations: high-level population, intermediate-level population, and low-level population and uses the proposed ternary quantum rotation gate, proposed ternary quantum correction gate, and proposed multi-operator adaptive mutation mechanism to make the three-level populations evolve. Moreover, based on the proposed delay decomposition strategy, we propose a delay optimization approach (DOA) for ternary FPRM circuits under the unit delay model, which searches for a ternary FPRM circuit with a minimum delay using the MAQGA. Experimental results demonstrated the effectiveness and superiority of the DOA in optimizing the delay of ternary FPRM circuits.",Wiley
"Wang, ShaoPeng and Zhang, Yu-Hang and Lu, Jing and Cui, Weiren and Hu, Jerry and Cai, Yu-Dong",Analysis and Identification of Aptamer-Compound Interactions with a Maximum Relevance Minimum Redundancy and Nearest Neighbor Algorithm,2016,https://doi.org/10.1155/2016/8351204,https://onlinelibrary.wiley.com/doi/abs/10.1155/2016/8351204,Journal,BioMed Research International,"The development of biochemistry and molecular biology has revealed an increasingly important role of compounds in several biological processes. Like the aptamer-protein interaction, aptamer-compound interaction attracts increasing attention. However, it is time-consuming to select proper aptamers against compounds using traditional methods, such as exponential enrichment. Thus, there is an urgent need to design effective computational methods for searching effective aptamers against compounds. This study attempted to extract important features for aptamer-compound interactions using feature selection methods, such as Maximum Relevance Minimum Redundancy, as well as incremental feature selection. Each aptamer-compound pair was represented by properties derived from the aptamer and compound, including frequencies of single nucleotides and dinucleotides for the aptamer, as well as the constitutional, electrostatic, quantum-chemical, and space conformational descriptors of the compounds. As a result, some important features were obtained. To confirm the importance of the obtained features, we further discussed the associations between them and aptamer-compound interactions. Simultaneously, an optimal prediction model based on the nearest neighbor algorithm was built to identify aptamer-compound interactions, which has the potential to be a useful tool for the identification of novel aptamer-compound interactions. The program is available upon the request.",Wiley
"Jiao, Xiongfei and Li, Juan and Zhao, Zhilei and Badami, Benjamin",An all-inclusive computer-aided melanoma diagnosis based on soft computing,2022,https://doi.org/10.1002/ima.22708,https://onlinelibrary.wiley.com/doi/abs/10.1002/ima.22708,Journal,International Journal of Imaging Systems and Technology,"This paper provides a different optimized approach for melanoma diagnosis from the inputted dermoscopy images. The technique is a pipeline technique with four main steps, including noise reduction, lesion segmentation, feature selection, and final classification. For decreasing the complexity of the feature extraction stage, Fuzzy C-means has been used. The classifier has been improved based on a developed decision tree. The modification of the classifier is based on a new enhanced design of a metaheuristic, called Quantum Fluid Search Optimizer. The efficiency of the suggested technique is calculated by considering some measurement indicators and their achievements are compared with five other latest methods. The results showed the maximum accuracy equal to 94.12\% with the highest precision being achieved by the proposed method. The results also indicate that the proposed method with the highest value of 91.18\% sensitivity against the other techniques, provides the highest reliability.",Wiley
"Burger, Michael and Nguyen, Giang Nam and Bischof, Christian",SimAnMo〞A parallelized runtime model generator,2022,https://doi.org/10.1002/cpe.6771,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.6771,Journal,Concurrency and Computation: Practice and Experience,"In this article, we present the novel features of the recent version of SimAnMo, the Simulated Annealing Modeler. The tool creates models that correlate the size of one input parameter of an application to the corresponding runtime and thus SimAnMo allows predictions for larger input sizes. A focus lies on applications whose runtime grows exponentially in the input parameter size. Such programs are, for example, of high interest for cryptanalysis to analyze practical security of traditional and post-quantum secure schemes. However, SimAnMo also generates reliable models for the widespread case of polynomial runtime behavior and also for the important case of factorial runtime increase. SimAnMo's model generation is based on a parallelized simulated annealing procedure and heuristically minimizes the costs of a model. Those may rely on different quality metrics. Insights into SimAnMo's software design and its usage are provided. We demonstrate the quality of SimAnMo's models for different algorithms from various application fields. We show that our approach also works well on ARM architectures.",Wiley
"Sajid, Mohammad and Raza, Zahid",Energy-efficient quantum-inspired stochastic Q-HypE algorithm for batch-of-stochastic-tasks on heterogeneous DVFS-enabled processors,2019,https://doi.org/10.1002/cpe.5327,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.5327,Journal,Concurrency and Computation: Practice and Experience,"Summary Scheduling on dynamic voltage and frequency scaling enabled processors to determine the Pareto-optimal solutions with optimized makespan and energy consumption demands faster multi-objective scheduling algorithms. In general, the problem of multi-objective optimization, ie, finding the Pareto-optimal solutions to optimize two or more QoS parameters, has been proven to be an NP-complete problem. In this work, we propose a novel energy-efficient quantum-inspired stochastic Q-HypE algorithm to schedule the batch-of-stochastic-tasks (BoT) on DVFS-enabled processors with the aim to optimize the makespan of BoT as well as the energy consumption of processors. The stochastic processing times of tasks are drawn from independent probability distributions. The proposed Q-HypE algorithm evolves from combined characteristics of quantum computing and a hypervolume based multi-objective optimization HypE algorithm. The proposed Q-HypE algorithm simultaneously minimizes the makespan and energy consumption of the Pareto-optimal solutions whereas the dynamics of quantum computing accelerate the process of HypE to further minimize the overheads of hypervolume estimation. Experimental results reveal the effectiveness of the proposed Q-HypE algorithm both in terms of the number and quality of solutions offered.",Wiley
